Student_ID,Gender,Age,State,City,College_Type,Degree_Stream,10th_Percentage,12th_Percentage,Graduation_Percentage,CGPA,Backlogs,Attendance,Internship,Internship_Months,Projects,Certifications,Aptitude_Score,Coding_Score,Communication_Score,Technical_Score,Mock_Interview_Score,Resume_Score,Company_Type,Placement_Package_LPA,Placement_Status
SP100037,Female,20,Tamil Nadu,Pune,Autonomous,BCA,67,57,85,7.55,5,79,No,0,6,8,49,56,71,52,66,65,,0.0,Not Placed
SP100038,Male,26,Karnataka,Bengaluru,Private,BBA,91,79,95,7.9,2,74,Yes,8,4,10,83,56,94,62,75,86,MNC,4.71,Placed
SP100039,Male,24,Karnataka,Ahmedabad,Private,MCA,87,83,85,8.59,0,84,Yes,8,5,2,65,78,50,81,70,87,MNC,6.51,Placed
SP100040,Female,23,Gujarat,Delhi,Private,B.Tech,72,80,84,5.0,4,69,No,0,7,5,60,41,60,53,89,66,,0.0,Not Placed
SP100041,Male,22,Tamil Nadu,Lucknow,Government,BCA,85,70,65,7.23,1,82,Yes,6,8,9,86,86,59,64,89,71,MNC,5.9,Placed
SP100042,Female,27,Karnataka,Delhi,Government,B.Sc,71,65,62,7.47,3,75,Yes,5,4,3,88,74,57,82,57,72,Product,5.85,Placed
SP100043,Male,25,Madhya Pradesh,Mumbai,Private,B.Com,75,85,69,8.06,1,91,Yes,9,3,6,81,83,78,80,97,82,Startup,7.29,Placed
SP100044,Female,21,Rajasthan,Bhopal,Private,BCA,73,91,51,6.01,4,95,Yes,1,0,8,58,60,66,65,74,50,,0.0,Not Placed
SP100045,Female,26,Gujarat,Chennai,Private,B.Tech,50,59,71,6.47,5,72,No,0,1,2,51,43,55,52,63,65,,0.0,Not Placed
SP100046,Female,25,Karnataka,Delhi,Government,B.Com,62,54,54,8.38,4,67,Yes,1,3,3,63,52,59,39,52,56,,0.0,Not Placed
SP100047,Female,23,Tamil Nadu,Mumbai,Government,B.Com,69,65,68,8.68,3,93,Yes,3,5,6,92,66,67,52,74,93,Service,3.57,Placed
SP100048,Male,21,Tamil Nadu,Jaipur,Private,B.Sc,91,98,95,9.9,0,89,Yes,11,3,7,98,75,77,85,90,92,Government,10.14,Placed
SP100049,Male,26,Delhi,Jaipur,Autonomous,B.Com,74,72,70,8.23,1,83,Yes,3,5,4,74,70,51,56,91,56,MNC,3.61,Placed
SP100050,Male,24,Madhya Pradesh,Pune,Autonomous,MCA,83,85,73,6.25,2,92,Yes,1,3,7,50,59,63,60,87,50,Service,2.5,Placed
SP100051,Female,21,Rajasthan,Delhi,Autonomous,MCA,92,78,89,9.9,0,90,Yes,9,6,3,100,87,84,72,80,77,Startup,9.75,Placed
SP100052,Female,24,Delhi,Ahmedabad,Government,B.Com,79,70,85,8.53,3,76,Yes,1,7,7,71,66,66,78,74,74,Startup,6.12,Placed
SP100053,Female,24,Delhi,Bhopal,Autonomous,MCA,67,75,64,6.06,3,77,No,0,4,3,60,54,57,81,75,77,,0.0,Not Placed
SP100054,Female,23,Karnataka,Chennai,Private,MCA,81,70,70,7.22,2,84,Yes,5,5,10,63,55,79,72,75,62,MNC,2.85,Placed
SP100055,Male,22,Rajasthan,Bengaluru,Private,MCA,52,70,69,7.61,2,85,No,0,5,10,83,85,48,64,57,72,MNC,5.89,Placed
SP100056,Male,25,Madhya Pradesh,Ahmedabad,Private,MCA,81,79,68,7.84,4,72,Yes,6,6,6,62,53,37,78,73,88,Startup,3.44,Placed
SP100057,Male,22,Rajasthan,Mumbai,Private,B.Tech,73,59,57,5.0,4,90,Yes,2,2,2,58,74,71,58,57,69,Product,2.5,Placed
SP100058,Male,26,Madhya Pradesh,Lucknow,Government,BCA,79,64,78,8.75,2,73,Yes,2,2,3,69,67,64,50,78,78,Product,3.56,Placed
SP100059,Female,26,Uttar Pradesh,Jaipur,Private,MBA,80,67,67,7.71,3,66,Yes,6,2,4,72,39,73,84,62,74,Startup,2.5,Placed
SP100060,Male,25,Karnataka,Mumbai,Private,B.Com,68,89,88,9.89,2,84,Yes,5,6,5,78,67,50,100,63,84,Product,7.73,Placed
SP100061,Female,25,Delhi,Ahmedabad,Private,BCA,67,72,58,6.95,2,60,Yes,2,5,7,48,65,63,72,57,57,,0.0,Not Placed
SP100062,Female,20,Rajasthan,Bhopal,Private,B.Sc,52,69,67,6.53,4,71,Yes,1,3,4,48,48,53,61,48,57,,0.0,Not Placed
SP100063,Male,23,Gujarat,Lucknow,Autonomous,MCA,79,72,59,7.21,1,92,Yes,6,2,6,64,58,65,56,57,89,MNC,4.52,Placed
SP100064,Male,23,Maharashtra,Bhopal,Private,MCA,91,86,87,9.04,0,85,Yes,8,3,5,83,58,70,92,100,91,Service,9.5,Placed
SP100065,Male,23,Maharashtra,Lucknow,Private,B.Com,87,71,79,6.92,3,68,No,0,6,10,59,45,66,43,79,69,,0.0,Not Placed
SP100066,Male,22,Delhi,Lucknow,Private,B.Tech,58,68,51,6.04,5,75,No,0,2,5,69,61,53,65,57,61,,0.0,Not Placed
SP100067,Male,23,Karnataka,Bhopal,Autonomous,B.Tech,57,63,61,5.51,5,73,Yes,2,2,6,43,41,68,71,54,69,,0.0,Not Placed
SP100068,Female,24,Maharashtra,Bhopal,Private,BCA,71,50,54,6.83,5,87,No,0,4,3,59,53,68,63,60,45,,0.0,Not Placed
SP100069,Male,23,Delhi,Lucknow,Private,BCA,66,83,80,6.54,3,81,Yes,2,4,4,76,51,70,63,74,74,MNC,2.5,Placed
SP100070,Male,25,Gujarat,Lucknow,Private,B.Tech,60,82,68,6.78,3,69,Yes,1,8,6,67,57,67,51,68,65,,0.0,Not Placed
SP100071,Female,23,Uttar Pradesh,Jaipur,Private,BCA,90,86,89,8.96,0,91,Yes,9,5,7,87,94,87,79,84,90,MNC,9.64,Placed
SP100072,Female,23,Madhya Pradesh,Jaipur,Government,B.Tech,72,79,74,5.98,4,82,Yes,5,6,8,59,63,75,68,76,58,Startup,3.76,Placed
SP100073,Female,22,Gujarat,Jaipur,Autonomous,MBA,69,69,77,6.69,3,78,No,0,3,7,52,65,67,52,89,82,Service,2.5,Placed
SP100074,Male,26,Uttar Pradesh,Jaipur,Private,B.Com,94,83,83,9.38,0,95,No,0,6,7,100,89,66,93,78,92,Service,10.43,Placed
SP100075,Female,24,Maharashtra,Indore,Government,B.Com,83,98,70,6.79,0,90,Yes,5,6,5,82,64,85,58,76,76,Product,2.59,Placed
SP100076,Male,23,Delhi,Indore,Autonomous,B.Tech,59,63,66,8.55,2,74,Yes,6,6,7,63,50,60,46,60,83,Service,2.5,Placed
SP100077,Female,25,Rajasthan,Lucknow,Government,B.Tech,74,90,82,6.81,2,88,Yes,6,7,4,72,51,77,84,51,54,,0.0,Not Placed
SP100078,Female,23,Uttar Pradesh,Mumbai,Private,MBA,79,89,88,6.99,2,84,No,0,4,4,66,67,71,70,70,83,Service,4.64,Placed
SP100079,Male,24,Karnataka,Mumbai,Autonomous,B.Com,66,55,65,8.72,3,85,Yes,2,4,8,68,70,69,91,73,73,MNC,6.08,Placed
SP100080,Female,24,Rajasthan,Bengaluru,Private,B.Tech,72,64,66,5.0,5,80,Yes,1,0,1,61,66,61,53,58,43,,0.0,Not Placed
SP100081,Male,23,Rajasthan,Bengaluru,Private,B.Sc,81,89,83,7.83,2,91,No,0,3,0,54,80,56,50,76,74,Government,3.26,Placed
SP100082,Female,22,Tamil Nadu,Lucknow,Government,B.Com,87,78,64,8.35,2,80,Yes,7,6,4,87,63,63,70,76,85,Product,5.49,Placed
SP100083,Female,22,Madhya Pradesh,Indore,Private,BBA,85,82,66,7.55,3,90,Yes,8,4,9,77,52,70,82,70,56,MNC,3.07,Placed
SP100084,Male,23,Tamil Nadu,Indore,Autonomous,BCA,65,54,59,6.17,4,63,No,0,5,1,59,49,63,37,75,77,,0.0,Not Placed
SP100085,Male,23,Karnataka,Ahmedabad,Autonomous,B.Tech,71,80,85,7.49,3,75,No,0,3,4,97,70,61,100,64,77,Service,9.42,Placed
SP100086,Female,22,Karnataka,Lucknow,Private,B.Sc,71,74,75,5.42,3,71,No,0,3,6,40,64,46,82,81,73,,0.0,Not Placed
SP100087,Female,22,Maharashtra,Pune,Private,BBA,69,84,65,6.75,3,75,Yes,3,3,4,71,63,100,63,68,63,,0.0,Not Placed
SP100088,Female,23,Uttar Pradesh,Ahmedabad,Autonomous,MCA,97,72,80,7.42,0,77,No,0,5,6,86,91,85,81,77,84,Government,8.96,Placed
SP100089,Male,23,Gujarat,Bengaluru,Private,BBA,76,85,85,8.07,2,82,Yes,7,7,7,100,69,69,49,90,68,Startup,4.15,Placed
SP100090,Female,24,Maharashtra,Delhi,Private,MCA,66,83,86,6.92,1,93,Yes,7,4,7,61,71,80,83,76,80,Startup,4.8,Placed
SP100091,Female,23,Rajasthan,Bengaluru,Private,BBA,83,75,77,8.69,0,75,No,0,8,5,49,56,58,70,69,66,Product,3.29,Placed
SP100092,Female,25,Gujarat,Mumbai,Government,B.Com,77,80,95,8.75,3,81,Yes,8,6,4,61,59,56,78,92,72,Startup,4.19,Placed
SP100093,Female,22,Uttar Pradesh,Bhopal,Autonomous,BBA,60,87,70,7.18,2,84,No,0,6,6,49,86,83,70,87,74,MNC,4.89,Placed
SP100094,Female,25,Rajasthan,Chennai,Private,MCA,81,74,79,7.62,3,77,Yes,1,6,5,72,66,75,68,63,61,Startup,4.4,Placed
SP100095,Female,21,Delhi,Chennai,Private,MBA,78,58,67,7.8,4,74,Yes,3,3,6,79,76,73,50,69,64,,0.0,Not Placed
SP100096,Male,21,Rajasthan,Delhi,Autonomous,MBA,66,74,66,8.4,3,86,Yes,3,3,9,100,78,75,58,81,74,Product,5.84,Placed
SP100097,Male,21,Tamil Nadu,Mumbai,Government,BCA,78,85,86,8.85,0,85,Yes,9,5,7,76,77,82,66,92,86,Startup,6.24,Placed
SP100098,Male,22,Tamil Nadu,Bhopal,Private,B.Tech,88,74,78,8.54,0,84,Yes,2,3,7,79,66,75,81,66,74,Startup,6.45,Placed
SP100099,Female,25,Gujarat,Pune,Private,B.Tech,79,81,74,8.68,2,78,No,0,3,5,87,73,44,48,91,70,Startup,4.91,Placed
SP100100,Male,24,Maharashtra,Indore,Government,MCA,79,70,70,7.2,2,86,No,0,5,1,91,76,79,67,55,61,Product,2.86,Placed
SP100101,Male,24,Maharashtra,Lucknow,Autonomous,B.Sc,66,59,82,7.07,5,73,No,0,4,4,61,38,39,56,79,77,,0.0,Not Placed
SP100102,Male,22,Maharashtra,Bengaluru,Autonomous,B.Sc,86,64,72,6.54,2,94,No,0,4,6,69,59,81,69,62,71,Startup,2.74,Placed
SP100103,Female,24,Tamil Nadu,Ahmedabad,Government,BCA,94,75,82,8.27,1,77,No,0,0,6,70,53,48,57,75,86,,0.0,Not Placed
SP100104,Female,23,Uttar Pradesh,Pune,Private,MBA,73,75,60,5.0,5,67,No,0,1,2,61,30,41,55,48,62,,0.0,Not Placed
SP100105,Male,22,Uttar Pradesh,Ahmedabad,Government,B.Tech,85,81,68,9.0,1,77,No,0,6,9,70,39,63,65,70,59,Service,2.96,Placed
SP100106,Male,26,Gujarat,Bengaluru,Autonomous,B.Tech,82,75,68,8.64,4,83,No,0,7,3,77,64,64,51,74,61,Product,4.49,Placed
SP100107,Male,27,Delhi,Indore,Autonomous,BCA,89,71,80,9.46,1,85,No,0,1,6,67,98,76,71,75,95,Product,7.13,Placed
SP100108,Male,25,Maharashtra,Lucknow,Private,BCA,76,82,68,7.58,2,87,No,0,6,3,73,47,48,62,72,68,,0.0,Not Placed
SP100109,Female,26,Delhi,Lucknow,Private,BBA,90,80,90,7.26,1,77,Yes,8,2,7,77,73,99,69,87,76,Startup,3.3,Placed
SP100110,Female,26,Madhya Pradesh,Pune,Private,B.Tech,82,81,59,8.73,2,72,Yes,1,1,6,61,80,62,60,79,54,MNC,3.99,Placed
SP100111,Male,22,Tamil Nadu,Indore,Government,MBA,76,83,85,5.41,3,70,Yes,3,3,0,71,47,70,47,70,71,,0.0,Not Placed
SP100112,Female,20,Gujarat,Ahmedabad,Private,MCA,84,75,81,6.49,0,73,Yes,4,5,5,64,47,56,66,77,49,,0.0,Not Placed
SP100113,Male,25,Tamil Nadu,Mumbai,Government,BCA,78,66,79,9.13,1,90,Yes,8,3,2,81,90,79,90,100,72,Service,11.3,Placed
SP100114,Male,22,Tamil Nadu,Ahmedabad,Autonomous,MCA,78,86,70,6.43,1,88,No,0,6,5,63,76,84,78,73,66,Product,2.5,Placed
SP100115,Female,23,Delhi,Ahmedabad,Private,BCA,52,67,61,8.71,4,71,No,0,5,5,99,52,59,48,64,76,Startup,2.5,Placed
SP100116,Male,24,Delhi,Mumbai,Government,MCA,85,73,70,9.11,1,73,Yes,1,5,7,54,71,68,68,64,59,MNC,4.45,Placed
SP100117,Female,24,Gujarat,Indore,Autonomous,MCA,79,66,73,8.61,3,78,Yes,2,7,3,59,64,66,87,68,75,MNC,3.63,Placed
SP100118,Male,24,Rajasthan,Jaipur,Government,MCA,62,63,69,7.01,3,82,No,0,4,4,52,72,61,55,48,64,,0.0,Not Placed
SP100119,Female,23,Gujarat,Delhi,Private,MCA,75,71,73,5.6,4,78,No,0,6,5,76,80,59,62,63,62,,0.0,Not Placed
SP100120,Female,25,Karnataka,Lucknow,Autonomous,BCA,79,84,78,7.79,1,100,No,0,5,2,93,68,72,70,85,65,MNC,5.74,Placed
SP100121,Male,23,Delhi,Bhopal,Autonomous,B.Sc,77,80,72,6.76,3,69,No,0,5,7,61,70,60,51,69,59,,0.0,Not Placed
SP100122,Male,22,Delhi,Jaipur,Private,BCA,88,50,60,5.89,4,82,No,0,4,5,48,63,48,80,52,72,,0.0,Not Placed
SP100123,Male,24,Uttar Pradesh,Ahmedabad,Autonomous,B.Sc,81,77,72,9.67,2,74,Yes,6,8,10,80,76,67,72,86,71,Product,6.77,Placed
SP100124,Male,23,Madhya Pradesh,Ahmedabad,Private,B.Tech,69,89,85,7.29,2,89,No,0,4,1,51,58,75,50,68,75,Government,3.65,Placed
SP100125,Male,22,Uttar Pradesh,Chennai,Government,B.Tech,70,79,68,6.91,1,75,Yes,3,2,10,49,61,71,77,79,96,MNC,3.69,Placed
SP100126,Male,22,Delhi,Lucknow,Autonomous,B.Tech,82,67,82,8.21,3,82,Yes,7,7,5,77,83,78,77,52,73,Service,5.97,Placed
SP100127,Female,21,Gujarat,Bengaluru,Private,MCA,74,83,85,7.19,2,87,Yes,6,3,5,47,91,88,57,78,78,MNC,5.11,Placed
SP100128,Female,24,Karnataka,Pune,Government,BCA,84,70,59,8.3,3,80,No,0,7,6,76,59,67,65,46,80,Startup,2.5,Placed
SP100129,Male,24,Karnataka,Pune,Private,BBA,63,73,79,8.07,3,83,Yes,9,5,9,84,93,60,72,81,53,MNC,7.42,Placed
SP100130,Male,26,Rajasthan,Delhi,Private,B.Tech,90,68,83,8.44,2,91,Yes,7,8,1,66,63,82,55,52,77,Product,5.21,Placed
SP100131,Female,24,Karnataka,Bengaluru,Private,MCA,69,58,84,7.83,4,67,No,0,3,0,64,43,58,59,63,73,,0.0,Not Placed
SP100132,Male,24,Uttar Pradesh,Jaipur,Private,BCA,72,69,71,9.47,3,76,No,0,5,5,76,53,67,57,55,72,Service,4.75,Placed
SP100133,Female,23,Madhya Pradesh,Mumbai,Private,B.Com,84,73,72,5.65,5,70,Yes,4,1,4,63,46,74,64,66,68,,0.0,Not Placed
SP100134,Male,25,Delhi,Indore,Private,BBA,86,71,76,8.26,3,91,Yes,7,1,5,80,70,69,66,85,67,Startup,5.48,Placed
SP100135,Female,27,Tamil Nadu,Pune,Private,B.Com,50,58,62,6.63,4,84,Yes,1,3,5,51,74,67,58,73,70,,0.0,Not Placed
SP100136,Male,23,Tamil Nadu,Jaipur,Private,B.Tech,50,62,68,7.76,5,77,No,0,3,1,47,64,66,66,89,69,,0.0,Not Placed
SP100137,Female,24,Gujarat,Indore,Autonomous,BBA,84,64,71,7.67,3,88,Yes,6,6,1,69,54,75,63,71,77,Service,2.5,Placed
SP100138,Male,24,Tamil Nadu,Bhopal,Autonomous,MCA,62,62,50,7.93,4,74,Yes,3,6,6,56,58,76,45,66,62,,0.0,Not Placed
SP100139,Male,24,Madhya Pradesh,Chennai,Private,B.Tech,53,56,69,6.66,5,75,No,0,2,1,56,30,42,48,40,67,,0.0,Not Placed
SP100140,Male,23,Maharashtra,Delhi,Private,B.Tech,85,84,74,9.39,0,85,Yes,5,3,4,54,70,47,81,87,66,Startup,7.28,Placed
SP100141,Female,24,Rajasthan,Pune,Government,BCA,68,68,78,7.38,3,69,No,0,3,7,58,40,53,78,75,60,,0.0,Not Placed
SP100142,Male,26,Maharashtra,Indore,Government,B.Tech,81,98,78,9.46,3,82,Yes,1,4,6,75,95,76,61,65,59,Service,8.58,Placed
SP100143,Female,26,Tamil Nadu,Indore,Autonomous,B.Sc,63,70,78,5.09,3,73,No,0,3,5,73,74,47,55,93,65,,0.0,Not Placed
SP100144,Male,23,Maharashtra,Indore,Private,B.Com,62,77,63,5.94,5,65,Yes,1,2,3,82,36,42,47,48,69,,0.0,Not Placed
SP100145,Female,20,Madhya Pradesh,Jaipur,Autonomous,MBA,64,65,50,5.48,3,63,No,0,1,3,54,55,41,75,60,48,,0.0,Not Placed
SP100146,Female,23,Karnataka,Jaipur,Government,BBA,73,69,75,8.32,3,80,No,0,1,5,72,30,61,66,51,73,Product,2.5,Placed
SP100147,Male,23,Gujarat,Mumbai,Government,B.Sc,82,53,55,7.23,3,69,No,0,5,4,64,63,77,46,71,70,,0.0,Not Placed
SP100148,Female,21,Madhya Pradesh,Delhi,Private,BCA,53,74,69,6.01,4,84,No,0,7,0,77,50,56,86,57,71,,0.0,Not Placed
SP100149,Female,24,Gujarat,Chennai,Autonomous,BCA,64,64,74,9.33,2,79,Yes,4,2,0,72,66,81,54,63,82,Startup,5.74,Placed
SP100150,Male,23,Karnataka,Ahmedabad,Government,B.Com,57,61,58,7.01,4,81,No,0,4,4,58,68,49,50,54,72,,0.0,Not Placed
SP100151,Female,26,Maharashtra,Chennai,Government,B.Tech,75,75,83,7.98,5,67,Yes,2,7,4,60,76,66,67,85,72,Service,5.11,Placed
SP100152,Female,23,Uttar Pradesh,Bengaluru,Autonomous,B.Sc,55,70,56,5.0,5,88,No,0,0,5,43,52,53,63,80,68,,0.0,Not Placed
SP100153,Male,25,Rajasthan,Indore,Autonomous,MCA,73,54,67,8.39,2,74,No,0,2,1,91,54,58,70,54,76,,0.0,Not Placed
SP100154,Female,26,Rajasthan,Ahmedabad,Private,B.Sc,89,79,87,8.78,1,79,Yes,4,3,9,71,93,69,62,77,71,MNC,5.72,Placed
SP100155,Female,25,Delhi,Lucknow,Autonomous,B.Com,82,82,83,9.84,1,76,Yes,7,7,6,68,61,71,67,79,81,Product,3.54,Placed
SP100156,Male,23,Delhi,Lucknow,Autonomous,BBA,97,76,90,9.9,2,82,Yes,9,7,6,79,75,74,89,91,56,MNC,10.51,Placed
SP100157,Male,24,Rajasthan,Jaipur,Government,BBA,63,60,54,6.37,3,81,No,0,0,1,68,41,61,43,56,71,,0.0,Not Placed
SP100158,Female,22,Uttar Pradesh,Lucknow,Private,B.Com,61,77,63,8.39,1,75,No,0,5,6,77,68,82,62,85,83,Service,4.77,Placed
SP100159,Female,24,Uttar Pradesh,Indore,Autonomous,BBA,82,86,82,6.61,1,80,Yes,9,8,8,74,83,87,74,84,76,Service,6.14,Placed
SP100160,Female,26,Madhya Pradesh,Bengaluru,Private,BBA,83,71,83,9.3,0,80,No,0,5,7,73,69,80,74,57,61,Product,6.43,Placed
SP100161,Male,27,Delhi,Jaipur,Government,MBA,61,61,69,5.0,4,65,No,0,0,5,64,88,41,61,64,53,,0.0,Not Placed
SP100162,Female,25,Gujarat,Indore,Private,B.Tech,75,85,81,6.48,2,76,No,0,4,9,79,64,87,50,81,81,Startup,2.5,Placed
SP100163,Female,23,Tamil Nadu,Jaipur,Private,B.Com,98,84,95,9.9,0,90,Yes,9,6,6,78,95,86,80,86,91,Product,12.14,Placed
SP100164,Male,23,Uttar Pradesh,Pune,Private,B.Sc,69,52,64,6.92,5,85,No,0,7,3,61,37,76,43,78,67,,0.0,Not Placed
SP100165,Female,27,Tamil Nadu,Lucknow,Government,BCA,66,90,81,8.59,2,73,Yes,3,3,7,73,68,68,51,71,68,,0.0,Not Placed
SP100166,Female,24,Madhya Pradesh,Ahmedabad,Autonomous,BCA,69,85,69,9.32,0,87,No,0,4,4,82,86,80,82,62,78,Government,8.62,Placed
SP100167,Male,21,Gujarat,Ahmedabad,Autonomous,MCA,76,70,76,5.43,3,84,No,0,3,6,62,75,54,73,71,75,Startup,2.5,Placed
SP100168,Male,23,Madhya Pradesh,Bhopal,Government,B.Tech,84,72,78,6.51,1,68,No,0,4,7,55,81,51,57,47,92,,0.0,Not Placed
SP100169,Male,25,Delhi,Jaipur,Private,BCA,55,79,65,5.62,4,84,Yes,5,7,2,64,67,72,45,70,57,,0.0,Not Placed
SP100170,Female,24,Delhi,Pune,Autonomous,BCA,67,58,66,7.19,4,70,Yes,2,4,3,53,42,67,67,79,86,,0.0,Not Placed
SP100171,Male,26,Karnataka,Mumbai,Autonomous,B.Com,69,65,79,7.21,4,67,Yes,2,0,2,52,68,48,76,66,49,,0.0,Not Placed
SP100172,Male,23,Madhya Pradesh,Jaipur,Government,BCA,85,84,63,6.61,2,84,Yes,4,6,3,60,68,84,44,57,49,MNC,2.74,Placed
SP100173,Male,25,Delhi,Indore,Private,BCA,81,72,69,7.89,3,86,No,0,3,9,65,69,54,59,54,66,,0.0,Not Placed
SP100174,Male,22,Uttar Pradesh,Lucknow,Government,B.Sc,98,76,81,8.62,0,80,Yes,12,3,2,100,78,63,90,86,72,MNC,9.15,Placed
